1789148311.080687 cni0  In  ifindex 7 72:37:3f:47:1b:4f ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.42.1.13 is-at 72:37:3f:47:1b:4f, length 28
1789148311.080580 cni0  In  ifindex 7 72:37:3f:47:1b:4f ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 10.42.1.1 tell 10.42.1.13, length 28
1789148311.080707 cni0  Out ifindex 7 fe:a7:1f:0d:86:9b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.42.1.1 is-at fe:a7:1f:0d:86:9b, length 28
1789148311.080711 veth17bdb767 Out ifindex 11 fe:a7:1f:0d:86:9b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.42.1.1 is-at fe:a7:1f:0d:86:9b, length 28
1789148313.328937 ens20 B   ifindex 4 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148313.328937 bond0 B   ifindex 5 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148314.312253 eth0  B   ifindex 2 7c:2b:e1:14:2d:14 ethertype ARP (0x0806), length 62: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.3.250 tell 192.168.3.1, length 42
1789148314.352301 ens20 B   ifindex 4 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148314.352301 bond0 B   ifindex 5 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148315.380344 ens20 B   ifindex 4 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148315.380344 bond0 B   ifindex 5 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148317.134653 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.32 tell 192.168.100.11, length 28
1789148317.134657 ens19 Out ifindex 3 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.32 tell 192.168.100.11, length 28
1789148317.171509 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.30 tell 192.168.100.11, length 28
1789148317.171512 ens19 Out ifindex 3 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.30 tell 192.168.100.11, length 28
1789148317.183815 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.31 tell 192.168.100.11, length 28
1789148317.183818 ens19 Out ifindex 3 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.31 tell 192.168.100.11, length 28
1789148317.951633 ens20 B   ifindex 4 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148317.951633 bond0 B   ifindex 5 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148318.184577 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.30 tell 192.168.100.11, length 28
1789148318.184578 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.31 tell 192.168.100.11, length 28
1789148318.184581 ens19 Out ifindex 3 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.31 tell 192.168.100.11, length 28
1789148318.184588 ens19 Out ifindex 3 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.30 tell 192.168.100.11, length 28
1789148318.184592 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.32 tell 192.168.100.11, length 28
1789148318.184594 ens19 Out ifindex 3 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.32 tell 192.168.100.11, length 28
1789148318.973538 ens20 B   ifindex 4 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148318.973538 bond0 B   ifindex 5 02:00:00:00:01:0c ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.12, length 46
1789148319.208594 bond0 Out ifindex 5 02:00:00:00:01:0b ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.31 tell 192.168.100.11, length 28
