1789148288.667124 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.1 tell 192.168.100.30, length 28
1789148288.667135 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.1 tell 192.168.100.30, length 28
1789148288.751767 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.21 tell 192.168.100.31, length 46
1789148288.751767 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.21 tell 192.168.100.31, length 46
1789148288.753760 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.31, length 46
1789148288.753760 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.31, length 46
1789148289.115200 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.30, length 28
1789148289.115210 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.30, length 28
1789148289.115231 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.30, length 28
1789148289.115232 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.30, length 28
1789148289.115236 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.30, length 28
1789148289.115237 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.30, length 28
1789148289.151889 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.32, length 46
1789148289.151889 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.32, length 46
1789148289.152649 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.32, length 46
1789148289.152649 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.32, length 46
1789148289.223051 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.31, length 46
1789148289.223051 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.31, length 46
1789148289.232840 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.32, length 46
